Fecha/T¡tulo,PUBLICAS MONEDA LOCAL (Miles de Millones de Pesos),PUBLICAS MONEDA EXTRANJERA (Miles de Millones de Pesos),?PUBLICAS MONEDA LOCAL
Abr 2015,"5,903.6",0.0,0.515893961
May 2015,"5,964.7",0.0,1.034961718
Jun 2015,"5,943.3",0.0,-0.358777474
Jul 2015,"5,975.4",0.0,0.540103983
Ago 2015,"6,016.1",0.0,0.68112595
Sep 2015,"6,025.0",0.0,0.147936371
Oct 2015,"5,977.9",0.0,-0.781742739
Nov 2015,"5,990.7",0.0,0.214122016
Dic 2015,"6,035.8",0.0,0.752833559
Ene 2016,"6,018.5",0.0,-0.286623149
Feb 2016,"6,076.0",0.0,0.955387555
Mar 2016,"6,014.5",0.0,-1.012179065
Abr 2016,"6,012.7",0.0,-0.029927675
May 2016,"5,942.0",0.0,-1.175844463
Jun 2016,"5,780.1",0.0,-2.724671828
Jul 2016,"5,838.3",0.0,1.006902995
Ago 2016,"5,961.7",0.0,2.113628967
Sep 2016,"5,981.9",0.0,0.338829528
Oct 2016,"5,935.4",0.0,-0.777344991
Nov 2016,"6,031.2",0.0,1.614044546
Dic 2016,"6,003.1",0.0,-0.465910598
Ene 2017,"6,095.9",0.0,1.545867968
Feb 2017,"6,139.9",0.0,0.721796617
Mar 2017,"6,243.6",0.0,1.688952589
Abr 2017,"6,355.9",0.0,1.798641809
May 2017,"6,358.7",0.0,0.044053557
Jun 2017,"6,397.4",0.0,0.608614968
Jul 2017,"6,436.7",0.0,0.614312064
Ago 2017,"6,523.3",0.0,1.345409915
Sep 2017,"6,584.1",0.0,0.932043598
Oct 2017,"6,592.2",0.0,0.123023648
Nov 2017,"6,616.0",0.0,0.361032736
Dic 2017,"6,489.9",0.0,-1.90598549
Ene 2018,"6,536.3",0.0,0.714957087
Feb 2018,"6,571.4",0.0,0.537001056
Mar 2018,"6,636.4",0.0,0.989134735
Abr 2018,"6,683.8",0.0,0.714242662
May 2018,"6,794.2",0.0,1.65175499
Jun 2018,"6,696.3",0.0,-1.440934915
Jul 2018,"6,781.3",0.0,1.269357705
Ago 2018,"6,803.0",0.0,0.319997641
Sep 2018,"6,887.8",0.0,1.246508893
Oct 2018,"6,897.0",0.0,0.1335695
Nov 2018,"7,020.4",0.0,1.789183703
Dic 2018,"6,928.6",0.0,-1.3076178
Ene 2019,"6,958.7",0.0,0.434431198
Feb 2019,"6,996.2",0.0,0.538893759
Mar 2019,"7,006.6",0.0,0.148652125
Abr 2019,"7,142.7",0.0,1.942454257
May 2019,"7,232.0",0.0,1.250227505
Jun 2019,"7,174.6",0.0,-0.79369469
Jul 2019,"7,264.1",0.0,1.247456304
Ago 2019,"7,368.1",0.0,1.431698352
Sep 2019,"7,428.4",0.0,0.818392801
Oct 2019,"7,601.7",0.0,2.332938452
Nov 2019,"7,793.7",0.0,2.525750819
Dic 2019,"7,661.3",0.0,-1.698808012
Ene 2020,"7,687.6",0.0,0.343283777
Feb 2020,"7,704.7",0.0,0.222436131
Mar 2020,"7,793.2",0.0,1.148649526
