Fecha/T°tulo,"T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo original, Corto plazo ","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo original, Largo plazo ","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo remanente, Corto plazo","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo remanente, Largo plazo",?PÈBLICA TOTAL PLAZO ORIGINAL CORTO PLAZO,?PÈBLICA TOTAL PLAZO ORIGINAL LARGO PLAZO,?PÈBLICA TOTAL PLAZO REMANENTE CORTO PLAZO,?PÈBLICA TOTAL PLAZO REMANENTE LARGO PLAZO
May 2015,"1,054.6","4,910.1","1,493.9","4,470.8",1.520985753,0.931179082,2.385031869,0.591742603
Jun 2015,"1,037.5","4,905.8","1,702.2","4,241.0",-1.621467855,-0.087574591,13.9433697,-5.140019683
Jul 2015,"1,027.6","4,947.8","1,695.0","4,280.4",-0.954216867,0.856129479,-0.422982023,0.929026173
Ago 2015,"1,045.0","4,971.1","1,668.0","4,348.1",1.693265862,0.470916367,-1.592920354,1.581627885
Sep 2015,993.1,"5,031.9","1,628.4","4,396.6",-4.966507177,1.223069341,-2.374100719,1.115429728
Oct 2015,902.5,"5,075.4","1,564.8","4,413.2",-9.122948344,0.864484588,-3.905674282,0.377564482
Nov 2015,855.3,"5,135.4","1,453.5","4,537.2",-5.229916898,1.182172834,-7.112730061,2.809752561
Dic 2015,873.0,"5,162.9","1,593.4","4,442.4",2.069449316,0.535498695,9.625043,-2.08939434
Ene 2016,834.2,"5,184.3","1,514.3","4,504.2",-4.444444444,0.414495729,-4.964227438,1.391139924
Feb 2016,824.4,"5,251.6","1,539.2","4,536.9",-1.174778231,1.298150184,1.64432411,0.725989077
Mar 2016,722.4,"5,292.1","1,399.6","4,615.0",-12.37263464,0.771193541,-9.06964657,1.72143975
Abr 2016,687.4,"5,325.3","1,375.8","4,636.9",-4.84496124,0.627350201,-1.700485853,0.474539545
May 2016,683.5,"5,258.5","1,285.4","4,656.6",-0.567355252,-1.254389424,-6.570722489,0.424852811
Jun 2016,743.5,"5,036.6","1,218.8","4,561.3",8.778346745,-4.219834554,-5.181266532,-2.046557574
Jul 2016,776.0,"5,062.3","1,236.7","4,601.6",4.371217216,0.510264861,1.468657696,0.883520049
Ago 2016,786.3,"5,175.4","1,272.3","4,689.5",1.327319588,2.234162337,2.878628608,1.910205146
Sep 2016,776.4,"5,205.4","1,216.1","4,765.8",-1.259061427,0.57966534,-4.417197202,1.62703913
Oct 2016,742.2,"5,193.2","1,151.9","4,783.5",-4.404945904,-0.234371998,-5.279171121,0.371396198
Nov 2016,759.2,"5,272.1","1,170.6","4,860.7",2.290487739,1.519294462,1.623404809,1.613881049
Dic 2016,775.7,"5,227.4","1,299.3","4,703.8",2.173340358,-0.847859487,10.99436187,-3.227930134
Ene 2017,789.5,"5,306.4","1,306.6","4,789.3",1.779038288,1.511267552,0.561840991,1.817679323
Feb 2017,794.6,"5,345.3","1,318.8","4,821.0",0.645978467,0.733077039,0.933721108,0.661892135
Mar 2017,809.7,"5,433.9","1,350.1","4,893.6",1.900327209,1.657530915,2.37336973,1.505911637
Abr 2017,874.5,"5,481.4","1,406.0","4,949.8",8.002964061,0.874141961,4.140434042,1.148438777
May 2017,827.6,"5,531.1","1,363.4","4,995.2",-5.363064608,0.906702667,-3.029871977,0.917208776
Jun 2017,898.4,"5,499.0","1,537.4","4,860.0",8.554857419,-0.580354721,12.76221212,-2.706598334
Jul 2017,900.7,"5,536.0","1,529.4","4,907.4",0.256010686,0.672849609,-0.520359048,0.975308642
Ago 2017,918.6,"5,604.8","1,563.2","4,960.2",1.987343178,1.242774566,2.210017,1.075926152
Sep 2017,908.3,"5,675.8","1,573.7","5,010.4",-1.1212715,1.266771339,0.671699079,1.012055965
Oct 2017,922.9,"5,669.4","1,569.0","5,023.2",1.607398437,-0.112759435,-0.298659211,0.255468625
Nov 2017,906.2,"5,709.7","1,563.8","5,052.2",-1.80951349,0.710833598,-0.331421287,0.577321229
Dic 2017,903.4,"5,586.5","1,547.7","4,942.2",-0.308982565,-2.15773158,-1.02954342,-2.177269308
Ene 2018,907.0,"5,629.3","1,539.1","4,997.2",0.398494576,0.766132641,-0.555663242,1.112864716
Feb 2018,897.9,"5,673.5","1,521.5","5,049.9",-1.003307607,0.785177553,-1.143525437,1.054590571
Mar 2018,865.9,"5,770.5","1,485.1","5,151.3",-3.563871255,1.709703005,-2.392375945,2.007960554
Abr 2018,839.9,"5,843.9","1,441.8","5,242.0",-3.002656196,1.27198683,-2.915628577,1.760720595
May 2018,872.7,"5,921.5","1,481.6","5,312.6",3.905226813,1.327880354,2.760438341,1.346814193
Jun 2018,874.0,"5,822.3","1,570.5","5,125.8",0.148962988,-1.675251203,6.000269978,-3.516169107
Jul 2018,"1,000.1","5,781.3","1,602.3","5,179.1",14.42791762,-0.704189066,2.024832856,1.039837684
Ago 2018,977.5,"5,825.5","1,601.6","5,201.4",-2.259774023,0.764533928,-0.0436872,0.430576741
Sep 2018,"1,005.3","5,882.5","1,599.4","5,288.5",2.84398977,0.978456785,-0.137362637,1.67454916
Oct 2018,972.0,"5,925.0","1,568.3","5,328.7",-3.312444047,0.722481938,-1.94447918,0.760139926
Nov 2018,998.1,"6,022.2","1,604.4","5,416.0",2.685185185,1.640506329,2.301855512,1.638298272
Dic 2018,969.1,"5,959.6","1,707.3","5,221.3",-2.905520489,-1.039487231,6.413612565,-3.594903988
Ene 2019,907.2,"6,051.5","1,697.1","5,261.6",-6.387369724,1.542049802,-0.597434546,0.771838431
Feb 2019,892.0,"6,104.2","1,649.2","5,347.0",-1.675485009,0.870858465,-2.822461847,1.623080432
Mar 2019,826.1,"6,180.5","1,566.8","5,439.8",-7.387892377,1.249959045,-4.996361872,1.735552646
Abr 2019,867.4,"6,275.4","1,647.9","5,494.9",4.999394746,1.535474476,5.176155221,1.012904886
May 2019,852.9,"6,379.1","1,674.8","5,557.2",-1.671662439,1.652484304,1.632380606,1.133778595
Jun 2019,951.8,"6,222.9","1,787.3","5,387.4",11.59573221,-2.448621279,6.717219967,-3.055495573
Jul 2019,940.2,"6,323.8","1,853.4","5,410.6",-1.218743433,1.621430523,3.698315895,0.430634443
Ago 2019,951.4,"6,416.7","1,823.5","5,544.6",1.191235907,1.469053417,-1.613251322,2.476619968
Sep 2019,931.5,"6,496.9","1,827.7","5,600.7",-2.091654404,1.249863637,0.230326296,1.01179526
Oct 2019,"1,016.4","6,585.4","1,842.8","5,758.9",9.114331723,1.36218812,0.826174974,2.824646919
Nov 2019,"1,078.4","6,715.3","1,955.0","5,838.7",6.099960645,1.972545328,6.088560886,1.385681293
Dic 2019,"1,140.6","6,520.7","1,960.5","5,700.8",5.767804154,-2.89786011,0.281329923,-2.361827119
Ene 2020,"1,085.4","6,602.2","1,852.4","5,835.2",-4.839558127,1.249865812,-5.513899515,2.357563851
Feb 2020,"1,012.6","6,692.1","1,786.4","5,918.3",-6.707204717,1.361667323,-3.562945368,1.424115712
Mar 2020,"1,128.7","6,664.5","1,901.3","5,891.9",11.46553427,-0.412426593,6.431930139,-0.446074042
